,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Awards,Production Company,wins,nominations,Win or Nominated,Oscar Wins
0,Capote,2005-09-30,03 Feb 2006,7000000.0,49084830.0,28337516.0,Crime,R,114.0,88.0,7.4,"W1O, ++58,86",Sony Pictures Classics,58.0,86.0,W,1
1,American Hustle,2013-12-12,20 Dec 2013,40000000.0,251171807.0,99165609.0,Drama,R,138.0,90.0,7.3,"N10O, ++70,208",Sony Pictures,70.0,208.0,N,1
2,Brokeback Mountain,2005-09-10,13 Jan 2006,14000000.0,178043761.0,82970165.0,Drama,R,134.0,87.0,7.7,"W3O, ++138,128",Focus Features,138.0,128.0,W,3
3,Walk the Line,2005-09-13,18 Nov 2005,28000000.0,186438883.0,119317827.0,Drama,PG-13,136.0,72.0,7.9,"W1O, ++44,46",20th Century Fox,44.0,46.0,W,1
4,"Good Night, and Good Luck.",2005-09-16,04 Nov 2005,7000000.0,54600000.0,31500000.0,Drama,PG,93.0,80.0,7.5,"N6O, ++38,121",Warner Independent Pictures,38.0,121.0,N,6
5,Syriana,2005-11-23,09 Dec 2005,50000000.0,93974620.0,50800000.0,Drama,R,128.0,76.0,6.9,"W1O, ++13,28",Warner Bros. Pictures,13.0,28.0,W,1
6,Crash,2005-05-06,06 May 2005,6500000.0,98410061.0,55382847.0,Drama,R,112.0,69.0,7.8,"W3O, ++64,111",Lions Gate Films,64.0,111.0,W,3
7,Cinderella Man,2005-06-02,03 Jun 2005,88000000.0,108539911.0,61600000.0,Romance,PG-13,144.0,69.0,8.0,"N3O, ++16,41",Universal Pictures,16.0,41.0,N,3
8,A History of Violence,2005-09-23,30 Sep 2005,32000000.0,60740827.0,31500000.0,Drama,R,96.0,81.0,7.5,"N2O, ++37,78",New Line Cinema,37.0,78.0,N,2
9,Mrs Henderson Presents,2005-09-08,17 Feb 2006,0.0,0.0,10965943.0,Comedy,R,103.0,71.0,7.1,"N2O, ++6,31",Weinstein Company,6.0,31.0,N,2
10,Transamerica,2005-12-23,03 Mar 2006,1000000.0,13350369.0,8713873.0,Drama,R,103.0,66.0,7.4,"N2O, ++32,23",Weinstein Company,32.0,23.0,N,2
11,Pride,2014-09-12,12 Sep 2014,0.0,7523634.0,0.0,Drama,R,119.0,79.0,7.8,"N1GG, ++9,17",CBS Films,9.0,17.0,N,1
12,North Country,2005-02-12,21 Oct 2005,35000000.0,25224242.0,18324242.0,Drama,R,126.0,68.0,7.3,"N2O, ++6,17",Warner Bros. Pictures,6.0,17.0,N,2
13,Junebug,2005-08-03,16 Sep 2005,1000000.0,0.0,2416555.0,Comedy,R,106.0,80.0,7.0,"N1O, ++2++1,27",Sony Pictures Classics,21.0,27.0,N,1
14,The Constant Gardener,2005-08-31,31 Aug 2005,25000000.0,82466670.0,33565375.0,Drama,R,129.0,82.0,7.4,"W1O, ++35,68",Focus Features,35.0,68.0,W,1
15,Being George Clooney,2016-02-06,15 Oct 2016,0.0,0.0,0.0,Documentary,,88.0,,6.7,1,,,,,1
16,Little Italy,2018-08-24,21 Sep 2018,0.0,0.0,0.0,Comedy,,102.0,28.0,5.7,"0, 0, 0, 0,",Lionsgate,0.0,,,0
17,Made in France,2015-10-27,23 Sep 2016,0.0,0.0,0.0,Drama,R,89.0,,6.2,"0, 0, 0, 0,",,0.0,,,0
18,A John Williams Celebration,2015-06-15,30 Jun 2015,0.0,0.0,0.0,Music,NOT RATED,103.0,,8.5,"0, 0, 0, 0,",,0.0,,,0
19,Blood Diamond,2006-12-07,08 Dec 2006,100000000.0,170877916.0,57300000.0,Drama,R,143.0,64.0,8.0,"N5O, ++8,26",Warner Bros. Pictures,8.0,26.0,N,5
20,Half Nelson,2006-08-11,22 Sep 2006,700000.0,4911725.0,2591047.0,Drama,R,106.0,85.0,7.2,"N1O, ++29,47",ThinkFilm,29.0,47.0,N,1
21,Venus,2006-09-02,16 Feb 2007,0.0,0.0,3261449.0,Comedy,R,95.0,82.0,7.1,"N1O, ++4,20",Miramax Films,4.0,20.0,N,1
22,The Pursuit of Happyness,2006-12-14,15 Dec 2006,55000000.0,307077295.0,162586036.0,Drama,PG-13,117.0,64.0,8.0,"N1O, ++1++1,24",Sony Pictures,11.0,24.0,N,1
23,The Last King of Scotland,2006-09-01,19 Jan 2007,6000000.0,48027970.0,17449410.0,Drama,R,123.0,74.0,7.7,"W1O, ++47,31",Fox Searchlight,47.0,31.0,W,1
24,Little Miss Sunshine,2006-07-26,18 Aug 2006,8000000.0,100523181.0,59831476.0,Comedy,R,101.0,80.0,7.8,"W2O, ++68,107",Fox Searchlight,68.0,107.0,W,2
25,Little Children,2006-10-06,09 Feb 2007,26000000.0,14821658.0,5307219.0,Romance,R,136.0,75.0,7.5,"N3O, ++20,57",New Line Cinema,20.0,57.0,N,3
26,Dreamgirls,2006-12-25,25 Dec 2006,70000000.0,154937680.0,103300000.0,Drama,PG-13,130.0,76.0,6.5,"W2O, ++66,91",Dreamworks,66.0,91.0,W,2
27,The Departed,2006-10-05,06 Oct 2006,90000000.0,289847354.0,132300000.0,Drama,R,151.0,85.0,8.5,"W4O, ++92,135",Warner Bros. Pictures,92.0,135.0,W,4
28,Volver,2006-03-16,26 Jan 2007,12899867.0,85582407.0,12830604.0,Comedy,R,121.0,84.0,7.6,"N1O, ++60,90",Sony Pictures Classics,60.0,90.0,N,1
29,Notes on a Scandal,2006-12-25,26 Jan 2007,15000000.0,49469904.0,17400000.0,Drama,R,92.0,73.0,7.4,"N4O, ++15,68",Fox Searchlight Pictures,15.0,68.0,N,4
30,The Queen,2006-09-15,17 Nov 2006,15000000.0,123384128.0,56222759.0,Drama,PG-13,103.0,91.0,7.3,"W1O, ++94,95",Miramax Films,94.0,95.0,W,1
31,The Devil Wears Prada,2006-06-30,30 Jun 2006,35000000.0,326551094.0,124700000.0,Comedy,PG-13,109.0,62.0,6.9,"N2O, ++16,50",20th Century Fox,16.0,50.0,N,2
32,Babel,2006-09-08,10 Nov 2006,25000000.0,135330182.0,34237104.0,Drama,R,143.0,69.0,7.5,"W1O, ++4++1,134",Paramount Classics,41.0,134.0,W,1
33,Close Encounters with Vilmos Zsigmond,2016-05-13,16 Nov 2016,0.0,0.0,0.0,Documentary,,80.0,,7.2,2,,,,,2
34,A Personal Journey with Martin Scorsese Through American Movies,1995-05-21,21 May 1995,0.0,0.0,0.0,Documentary,,225.0,,8.6,"0, 0, 0, 0,",The British Film Institute,0.0,,,0
35,Good Luck Algeria,2016-03-30,30 Mar 2016,0.0,0.0,0.0,Comedy,,91.0,,6.2,"0, 0, 0, 0,",,0.0,,,0
36,Michael Clayton,2007-09-28,12 Oct 2007,25000000.0,92991835.0,48976323.0,Drama,R,119.0,82.0,7.3,"W1O, ++26,110",Warner Bros. Pictures,26.0,110.0,W,1
37,There Will Be Blood,2007-12-28,25 Jan 2008,25000000.0,77208711.0,40133435.0,Drama,R,158.0,93.0,8.1,"W2O, ++106,136",Paramount Vantage,106.0,136.0,W,2
38,Sweeney Todd: The Demon Barber of Fleet Street,2007-12-20,21 Dec 2007,50000000.0,152000000.0,52900000.0,Drama,R,116.0,83.0,7.4,"W1O, ++33,75",DreamWorks/Paramount Studios,33.0,75.0,W,1
39,In the Valley of Elah,2007-08-31,28 Sep 2007,23000000.0,29541790.0,6585535.0,History,R,121.0,65.0,7.2,"N1O, ++2,17",Warner Independent Pictures,2.0,17.0,N,1
40,Eastern Promises,2007-09-14,21 Sep 2007,51500000.0,55112356.0,17114882.0,Thriller,R,100.0,82.0,7.7,"N1O, ++28,70",Focus Features,28.0,70.0,N,1
41,The Assassination of Jesse James by the Coward Robert Ford,2007-09-02,19 Oct 2007,30000000.0,14711793.0,3900000.0,Action,R,160.0,68.0,7.5,"N2O, ++25,65",Warner Bros. Pictures,25.0,65.0,N,2
42,No Country for Old Men,2007-11-08,21 Nov 2007,25000000.0,171627166.0,74223625.0,Crime,R,122.0,91.0,8.1,"W4O, ++157,132",Miramax Films,157.0,132.0,W,4
43,Charlie Wilson's War,2007-12-19,21 Dec 2007,75000000.0,119000410.0,66636385.0,Comedy,R,102.0,69.0,7.1,"N1O, ++5,22",Universal Pictures,5.0,22.0,N,1
44,Into the Wild,2007-09-11,19 Oct 2007,15000000.0,56255142.0,18173360.0,Adventure,R,148.0,73.0,8.1,"N2O, ++23,99",Paramount Vantage,23.0,99.0,N,2
45,Elizabeth: The Golden Age,2007-09-09,12 Oct 2007,55000000.0,74237563.0,16264475.0,Drama,PG-13,114.0,45.0,6.9,"W1O, ++5,29",Universal Pictures,5.0,29.0,W,1
46,Away from Her,2006-09-11,25 May 2007,0.0,0.0,15830046.0,Drama,PG-13,110.0,88.0,7.6,"N2O, ++62,38",Lionsgate,62.0,38.0,N,2
47,The Savages,2007-01-19,01 Feb 2008,0.0,0.0,6426953.0,Drama,R,113.0,85.0,7.2,"N2O, ++17,31",Fox Searchlight Pictures,17.0,31.0,N,2
48,Juno,2007-12-05,25 Dec 2007,7500000.0,231411584.0,143380890.0,Comedy,PG-13,96.0,81.0,7.5,"W1O, ++89,95",Fox Searchlight,89.0,95.0,W,1
49,American Gangster,2007-11-02,02 Nov 2007,100000000.0,266465037.0,130127620.0,Drama,R,157.0,76.0,7.8,"N2O, ++12,35",Universal Pictures,12.0,35.0,N,2
50,Atonement,2007-08-29,11 Jan 2008,30000000.0,129266061.0,50830581.0,Drama,R,123.0,85.0,7.8,"W1O, ++50,146",Focus Features,50.0,146.0,W,1
51,Gone Baby Gone,2007-10-19,19 Oct 2007,19000000.0,34619699.0,20300218.0,Crime,R,114.0,72.0,7.7,"N1O, ++34,29",Miramax,34.0,29.0,N,1
52,Julian Schnabel: A Private Portrait,2017-05-05,05 May 2017,0.0,0.0,8679.0,Documentary,,84.0,42.0,7.1,"0, 0, 0, 0,",Buena Onda Srl,0.0,,,0
53,"Roman J. Israel, Esq.",2017-11-17,22 Nov 2017,22000000.0,11942780.0,11887893.0,Crime,PG-13,122.0,58.0,6.4,"N1O, ++++1,7",Sony Pictures,1.0,7.0,N,1
54,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-01,03 Nov 2006,18000000.0,261572744.0,128400000.0,Comedy,R,84.0,89.0,7.3,"N1O, ++20,33",20th Century Fox,20.0,33.0,N,1
55,From Russia with Love,1963-10-11,27 May 1964,2000000.0,78898765.0,0.0,Action,PG,115.0,85.0,7.5,"N1GG, ++3,5",United Artists,3.0,5.0,N,1
56,The Visitor,2007-09-07,23 May 2008,0.0,9234510.0,9234510.0,Crime,PG-13,104.0,79.0,7.7,"N1O, ++19,34",Overture Films,19.0,34.0,N,1
57,Frost/Nixon,2008-10-15,23 Jan 2009,25000000.0,18593156.0,18600000.0,Drama,R,122.0,80.0,7.7,"N5O, ++2++1,71",Universal Pictures,21.0,71.0,N,5
58,Milk,2008-11-26,30 Jan 2009,20000000.0,54586584.0,31716847.0,History,R,128.0,84.0,7.6,"W2O, ++6++1,141",Focus Features,61.0,141.0,W,2
59,The Curious Case of Benjamin Button,2008-12-25,25 Dec 2008,150000000.0,333932083.0,127490802.0,Fantasy,PG-13,166.0,70.0,7.8,"W3O, ++77,155",Paramount,77.0,155.0,W,3
60,The Wrestler,2008-09-07,30 Jan 2009,6000000.0,44703995.0,26136413.0,Drama,R,109.0,81.0,7.9,"N2O, ++57,86",Fox Searchlight Pictures,57.0,86.0,N,2
61,Tropic Thunder,2008-08-09,13 Aug 2008,92000000.0,188072649.0,110416702.0,Action,R,107.0,71.0,7.0,"N1O, ++10,43",DreamWorks/Paramount Studios,10.0,43.0,N,1
62,Doubt,2008-11-27,25 Dec 2008,20000000.0,50907234.0,33422556.0,Drama,PG-13,104.0,68.0,7.5,"N5O, ++26,88",Miramax,26.0,88.0,N,5
63,The Dark Knight,2008-07-16,18 Jul 2008,185000000.0,1004558444.0,533316061.0,Drama,PG-13,152.0,84.0,9.0,"W2O, ++152,155",Warner Bros. Pictures/Legendary,152.0,155.0,W,2
64,Revolutionary Road,2008-12-19,23 Jan 2009,35000000.0,75225693.0,22877808.0,Drama,R,119.0,69.0,7.3,"N3O, ++19,67",Paramount Vantage,19.0,67.0,N,3
65,Rachel Getting Married,2008-10-03,07 Nov 2008,0.0,0.0,12748504.0,Drama,R,113.0,82.0,6.7,"N1O, ++3++1,63",Sony Pictures Classics,31.0,63.0,N,1
66,Changeling,2008-01-30,31 Oct 2008,55000000.0,113020255.0,35707327.0,Crime,R,141.0,63.0,7.8,"N3O, ++13,47",Universal Pictures,13.0,47.0,N,3
67,Frozen River,2008-08-01,05 Sep 2008,0.0,0.0,2061019.0,Drama,R,97.0,82.0,7.2,"N2O, ++32,37",Sony Pictures Classics,32.0,37.0,N,2
68,The Reader,2008-12-10,30 Jan 2009,32000000.0,113019290.0,34111418.0,Drama,R,124.0,58.0,7.6,"W1O, ++25,47",The Weinstein Co./MGM,25.0,47.0,W,1
69,Vicky Cristina Barcelona,2008-08-15,15 Aug 2008,15000000.0,96408652.0,23164041.0,Drama,PG-13,96.0,70.0,7.1,"W1O, ++3++1,53",The Weinstein Co.,31.0,53.0,W,1
70,Last Days,2005-05-13,13 May 2005,0.0,1928985.0,356500.0,Drama,R,97.0,67.0,5.8,"++1,5",Picture House,0.0,5.0,,1
71,Sunshine,2007-04-05,27 Jul 2007,50000000.0,32017803.0,0.0,Science Fiction,R,107.0,64.0,7.3,"++1,18",,0.0,18.0,,1
72,A Christmas Carol,1938-12-16,06 Nov 2009,0.0,0.0,137816456.0,Drama,PG,96.0,55.0,6.8,"3,5",Walt Disney Studios,0.0,5.0,,3
73,iCarly: iGo to Japan,2008-11-08,08 Nov 2008,0.0,0.0,0.0,Comedy,TV-G,71.0,,6.4,"0, 0, 0, 0,",,0.0,,,0
74,One Heart: The A.R. Rahman Concert Film,2017-09-01,08 Sep 2017,0.0,0.0,0.0,Music,,87.0,,8.9,"0, 0, 0, 0,",,0.0,,,0
75,Crazy Heart,2009-12-16,05 Feb 2010,7000000.0,47405566.0,38349555.0,Drama,R,112.0,83.0,7.3,"W2O, ++36,29",Fox Searchlight Pictures,36.0,29.0,W,2
76,Up in the Air,2009-09-05,23 Dec 2009,25000000.0,163670000.0,83775048.0,Drama,R,109.0,83.0,7.4,"N6O, ++76,158",Paramount Pictures,76.0,158.0,N,6
77,A Single Man,2009-10-19,05 Feb 2010,7000000.0,24964890.0,9098668.0,Romance,R,99.0,77.0,7.6,"N1O, ++36,55",The Weinstein Company,36.0,55.0,N,1
78,Invictus,2009-12-10,11 Dec 2009,60000000.0,122233971.0,37431431.0,Drama,PG-13,134.0,74.0,7.3,"N2O, ++10,33",Warner Bros. Pictures,10.0,33.0,N,2
79,The Hurt Locker,2008-10-10,31 Jul 2009,15000000.0,42000000.0,15700000.0,Drama,R,131.0,94.0,7.6,"W6O, ++117,126",Summit Entertainment,117.0,126.0,W,6
80,The Messenger,2009-11-13,04 Dec 2009,6500000.0,1521261.0,1006655.0,Drama,R,113.0,77.0,7.1,"N2O, ++17,44",Oscilloscope Pictures,17.0,44.0,N,2
81,The Last Station,2009-09-04,26 Feb 2010,0.0,0.0,6500000.0,Drama,R,112.0,76.0,7.0,"N2O, ++3,15",Sony Pictures Classics,3.0,15.0,N,2
82,The Lovely Bones,2009-12-26,15 Jan 2010,65000000.0,93525586.0,43982842.0,Fantasy,PG-13,135.0,42.0,6.7,"N1O, ++10,45",Paramount Pictures,10.0,45.0,N,1
83,Inglourious Basterds,2009-08-18,21 Aug 2009,70000000.0,319131050.0,120523073.0,Drama,R,153.0,69.0,8.3,"W1O, ++129,165",The Weinstein Company,129.0,165.0,W,1
84,The Blind Side,2009-11-20,20 Nov 2009,29000000.0,309208309.0,255900000.0,Drama,PG-13,129.0,53.0,7.7,"W1O, ++7,30",Warner Bros. Pictures,7.0,30.0,W,1
85,An Education,2009-10-29,05 Feb 2010,7500000.0,26096852.0,12512069.0,Drama,PG-13,100.0,85.0,7.3,"N3O, ++35,91",Sony Classics,35.0,91.0,N,3
86,Precious,2009-11-06,20 Nov 2009,10000000.0,47536959.0,47536959.0,Drama,R,110.0,79.0,7.3,"W2O, ++11++1,98",Lionsgate Films,111.0,98.0,W,2
87,Nine,2009-12-03,25 Dec 2009,80000000.0,53825515.0,19628665.0,Drama,PG-13,118.0,49.0,5.8,"N4O, ++8,56",The Weinstein Co.,8.0,56.0,N,4
88,Titanic: The Final Word with James Cameron,2012-04-08,08 Apr 2012,0.0,0.0,0.0,Documentary,,120.0,,7.7,"0, 0, 0, 0,",,0.0,,,0
89,Quentin Tarantino: 20 Years of Filmmaking,2012-11-20,20 Nov 2012,0.0,0.0,0.0,Documentary,,125.0,,7.1,"0, 0, 0, 0,",,0.0,,,0
90,The Butler,2013-08-16,16 Mar 2017,25000000.0,115922175.0,0.0,Drama,,70.0,,7.6,"0, 0, 0, 0,",,0.0,,,0
91,Imagining Argentina,2003-09-13,16 Apr 2004,0.0,0.0,0.0,Drama,R,107.0,27.0,6.3,1,Arenas Entertainment,,,,1
92,Hans Zimmer: Live in Prague,2017-10-01,03 Nov 2017,0.0,0.0,0.0,Music,NOT RATED,150.0,,9.1,"0, 0, 0, 0,",,0.0,,,0
93,Biutiful,2010-10-20,04 Feb 2011,0.0,25147786.0,5100937.0,Drama,R,148.0,58.0,7.5,"N2O, ++18,45",Roadside Attractions,18.0,45.0,N,2
94,True Grit,2010-12-22,22 Dec 2010,38000000.0,252276927.0,171031347.0,Drama,PG-13,110.0,80.0,7.6,"N10O, ++37,153",Paramount Pictures,37.0,153.0,N,1
95,The Social Network,2010-10-01,01 Oct 2010,40000000.0,224920315.0,96400000.0,Drama,PG-13,120.0,95.0,7.7,"W3O, ++165,168",Columbia Pictures,165.0,168.0,W,3
96,The King's Speech,2010-09-06,25 Dec 2010,15000000.0,414211549.0,138300000.0,Drama,R,118.0,88.0,8.0,"W4O, ++102,194",The Weinstein Company,102.0,194.0,W,4
97,127 Hours,2010-11-05,28 Jan 2011,18000000.0,35692920.0,18329466.0,Adventure,R,94.0,82.0,7.6,"N6O, ++23,141",Fox Searchlight,23.0,141.0,N,6
98,The Fighter,2010-12-17,17 Dec 2010,25000000.0,93617009.0,93571803.0,Drama,R,116.0,79.0,7.8,"W2O, ++72,116",Paramount Pictures,72.0,116.0,W,2
99,Winter's Bone,2010-06-11,16 Jul 2010,2000000.0,13831503.0,6200000.0,Drama,R,100.0,90.0,7.2,"N4O, ++63,120",Roadside Attractions,63.0,120.0,N,4
100,The Town,2010-09-15,17 Sep 2010,37000000.0,154026136.0,92173235.0,Crime,R,125.0,74.0,7.6,"N1O, ++9,45",Warner Bros. Pictures,9.0,45.0,N,1
101,The Kids Are All Right,2010-07-09,30 Jul 2010,3500000.0,34705850.0,20803237.0,Comedy,R,106.0,86.0,7.0,"N4O, ++28,120",Focus Features,28.0,120.0,N,4
102,Rabbit Hole,2010-12-16,28 Jan 2011,5000000.0,5129058.0,2221809.0,Drama,PG-13,91.0,76.0,7.0,"N1O, ++7,40",Lionsgate Films,7.0,40.0,N,1
103,Black Swan,2010-12-03,17 Dec 2010,13000000.0,327803731.0,106952327.0,Drama,R,108.0,79.0,8.0,"W1O, ++9++1,257",Fox Searchlight,91.0,257.0,W,1
104,Blue Valentine,2010-12-27,28 Jan 2011,3500000.0,16566240.0,9600000.0,Drama,R,112.0,81.0,7.4,"N1O, ++9,52",Weinstein Company,9.0,52.0,N,1
105,Animal Kingdom,2010-06-03,03 Jun 2010,5000000.0,1000000.0,1000000.0,Drama,R,113.0,83.0,7.3,"N1O, ++38,54",Sony Pictures Classics,38.0,54.0,N,1
106,A Better Life,2011-06-24,28 Jul 2011,10000000.0,1759252.0,1754319.0,Drama,PG-13,98.0,64.0,7.2,"N1O, ++6,8",Summit Entertainment,6.0,8.0,N,1
107,The Descendants,2011-09-09,09 Dec 2011,20000000.0,177243185.0,78500000.0,Comedy,R,115.0,84.0,7.3,"W1O, ++66,142",Fox Searchlight Pictures,66.0,142.0,W,1
108,The Artist,2011-06-26,20 Jan 2012,15000000.0,133432856.0,44667095.0,Drama,PG-13,100.0,89.0,7.9,"W5O, ++145,188",The Weinstein Company,145.0,188.0,W,5
109,Tinker Tailor Soldier Spy,2011-09-16,06 Jan 2012,30000000.0,80630608.0,20200000.0,Drama,R,122.0,85.0,7.1,"N3O, ++35,93",Focus Features,35.0,93.0,N,3
110,Moneyball,2011-09-22,23 Sep 2011,50000000.0,110206216.0,75605492.0,Drama,PG-13,133.0,87.0,7.6,"N6O, ++29,75",Sony Pictures,29.0,75.0,N,6
111,My Week with Marilyn,2011-11-23,23 Dec 2011,6400000.0,35057696.0,12600000.0,Drama,R,99.0,65.0,7.0,"N2O, ++19,59",The Weinstein Company,19.0,59.0,N,2
112,Warrior,2011-09-09,09 Sep 2011,25000000.0,23057115.0,13600000.0,Action,PG-13,140.0,71.0,8.2,"N1O, ++6,20",Lionsgate,6.0,20.0,N,1
113,Beginners,2011-06-09,09 Jun 2011,3200000.0,14311701.0,5764842.0,Drama,R,105.0,81.0,7.2,"W1O, ++34,29",Focus Features,34.0,29.0,W,1
114,Extremely Loud & Incredibly Close,2011-12-24,20 Jan 2012,40000000.0,55247881.0,31836745.0,Drama,PG-13,129.0,46.0,6.9,"N2O, ++8,23",Warner Bros. Pictures,8.0,23.0,N,2
115,Albert Nobbs,2011-12-21,22 Feb 2012,8000000.0,5634828.0,3014541.0,Drama,R,113.0,57.0,6.7,"N3O, ++19,39",Roadside Attractions,19.0,39.0,N,3
116,The Help,2011-08-09,10 Aug 2011,25000000.0,124272124.0,169705587.0,Drama,PG-13,146.0,62.0,8.1,"W1O, ++79,116",DreamWorks Studios,79.0,116.0,W,1
117,The Girl with the Dragon Tattoo,2011-12-14,21 Dec 2011,90000000.0,232617430.0,102515793.0,Thriller,R,158.0,71.0,7.8,"W1O, ++27,90",Sony Pictures,27.0,90.0,W,1
118,The Iron Lady,2011-12-30,13 Jan 2012,13000000.0,114956699.0,29959436.0,History,PG-13,105.0,54.0,6.4,"W2O, ++23,47",The Weinstein Co.,23.0,47.0,W,2
119,Bridesmaids,2011-05-13,13 May 2011,32500000.0,288383523.0,166500000.0,Comedy,R,125.0,75.0,6.8,"N2O, ++25,69",Universal Studios,25.0,69.0,N,2
120,La corrupción de Chris Miller,1973-05-17,01 Sep 1975,0.0,0.0,0.0,Drama,R,107.0,,6.5,"0, 0, 0, 0,",,0.0,,,0
121,Rango,2011-03-02,04 Mar 2011,10000000.0,0.0,123188232.0,Animation,PG,107.0,75.0,7.2,"W1O, ++45,24",Paramount Pictures,45.0,24.0,W,1
122,Woody Allen: A Documentary,2011-11-20,30 May 2012,0.0,0.0,0.0,Documentary,,195.0,,7.7,"0, 0, 0, 0,",,0.0,,,0
123,The Living Daylights,1987-06-29,31 Jul 1987,40000000.0,191185897.0,0.0,Action,PG,130.0,60.0,6.7,"3,4",MGM Home Entertainment,0.0,4.0,,3
124,Silver Linings Playbook,2012-09-08,25 Dec 2012,21000000.0,236412453.0,132088910.0,Drama,R,122.0,81.0,7.7,"W1O, ++88,145",The Weinstein Company,88.0,145.0,W,1
125,Lincoln,2012-11-09,16 Nov 2012,65000000.0,275293450.0,129477447.0,History,PG-13,150.0,86.0,7.4,"W2O, ++108,242",Dreamworks Pictures,108.0,242.0,W,2
126,Les Misérables,2012-12-18,25 Dec 2012,61000000.0,441809770.0,148775460.0,History,PG-13,158.0,63.0,7.6,"W3O, ++8++1,172",Universal Pictures,81.0,172.0,W,3
127,The Master,2012-09-07,21 Sep 2012,32000000.0,28258060.0,15800000.0,Drama,R,138.0,86.0,7.1,"N3O, ++76,179",The Weinstein Company,76.0,179.0,N,3
128,Flight,2012-11-02,02 Nov 2012,31000000.0,161772375.0,89400000.0,Drama,R,138.0,76.0,7.3,"N2O, ++16,42",Paramount Pictures,16.0,42.0,N,2
129,Argo,2012-10-11,12 Oct 2012,44500000.0,232324128.0,136019448.0,Drama,R,120.0,86.0,7.7,"W3O, ++94,152",Warner Bros. Pictures,94.0,152.0,W,3
130,Django Unchained,2012-12-25,25 Dec 2012,100000000.0,425368238.0,162804648.0,Drama,R,165.0,81.0,8.4,"W2O, ++56,151",The Weinstein Co.,56.0,151.0,W,2
131,Zero Dark Thirty,2012-12-19,11 Jan 2013,40000000.0,132820716.0,95720716.0,Thriller,R,157.0,95.0,7.4,"W1O, ++87,171",Columbia Pictures,87.0,171.0,W,1
132,Amour,2012-07-01,20 Sep 2012,8900000.0,29844753.0,6700000.0,Drama,PG-13,127.0,94.0,7.9,"W1O, ++77,103",Sony Pictures Classics,77.0,103.0,W,1
133,Beasts of the Southern Wild,2012-06-29,05 Jul 2012,1800000.0,21107746.0,12784397.0,Drama,PG-13,93.0,86.0,7.3,"N4O, ++92,123",Fox Searchlight,92.0,123.0,N,4
134,Lo imposible,2012-09-09,30 Jan 2013,42000000.0,180274123.0,0.0,Thriller,,0.0,,7.6,"0, 0, 0, 0,",,0.0,,,0
135,The Sessions,2012-05-02,16 Nov 2012,1000000.0,9138338.0,5997134.0,Drama,R,95.0,79.0,7.2,"N1O, ++18,63",Fox Searchlight Pictures,18.0,63.0,N,1
136,Corpse Bride,2005-09-12,23 Sep 2005,40000000.0,117195061.0,53300000.0,Romance,PG,77.0,83.0,7.4,"N1O, ++8,28",Warner Bros. Pictures,8.0,28.0,N,1
137,Before I Disappear,2014-10-11,28 Nov 2014,0.0,8251.0,2676.0,Drama,UNRATED,93.0,47.0,7.2,"16,8",IFC Films,0.0,8.0,,1
138,Nebraska,2013-09-21,24 Jan 2014,12000000.0,17654912.0,11348612.0,Drama,R,115.0,86.0,7.7,"N6O, ++28,157",Paramount Pictures,28.0,157.0,N,6
139,The Wolf of Wall Street,2013-12-25,25 Dec 2013,100000000.0,392000694.0,91330760.0,Crime,R,180.0,75.0,8.2,"N5O, ++38,165",Paramount Studios,38.0,165.0,N,5
140,12 Years a Slave,2013-10-18,08 Nov 2013,20000000.0,187000000.0,50628650.0,Drama,R,134.0,96.0,8.1,"W3O, ++235,326",Fox Searchlight,235.0,326.0,W,3
141,Dallas Buyers Club,2013-11-17,22 Nov 2013,5000000.0,55198285.0,23750994.0,Drama,R,117.0,84.0,8.0,"W3O, ++8++1,81",Focus Features,81.0,81.0,W,3
142,Captain Phillips,2013-10-10,11 Oct 2013,55000000.0,95000000.0,107100855.0,Action,PG-13,134.0,83.0,7.8,"N6O, ++16,144",Sony Pictures,16.0,144.0,N,6
143,Blue Jasmine,2013-07-25,23 Aug 2013,18000000.0,99206215.0,0.0,Comedy,PG-13,98.0,78.0,7.3,"W1O, ++54,75",Sony Pictures Classics,54.0,75.0,W,1
144,Gravity,2013-10-03,04 Oct 2013,105000000.0,716392705.0,274084951.0,Science Fiction,PG-13,91.0,96.0,7.7,"W7O, ++232,175",Warner Bros. Pictures,232.0,175.0,W,7
145,Philomena,2013-11-01,27 Nov 2013,12000000.0,100129872.0,0.0,Drama,PG-13,98.0,77.0,7.6,"N4O, ++32,76",The Weinstein Company,32.0,76.0,N,4
146,August: Osage County,2013-12-26,10 Jan 2014,25000000.0,74188937.0,29202643.0,Comedy,R,121.0,58.0,7.2,"N2O, ++15,62",The Weinstein Company,15.0,62.0,N,2
147,Intrusion: Cambodia,1983-03-03,03 Mar 1983,0.0,0.0,0.0,Action,R,90.0,,3.1,"0, 0, 0, 0,",,0.0,,,0
148,"Palestine, Palestine",2002-07-03,,0.0,0.0,0.0,Documentary,,73.0,,7.2,"0, 0, 0, 0,",,0.0,,,0
149,Foxcatcher,2014-05-19,16 Jan 2015,24000000.0,12096300.0,9744477.0,Drama,R,134.0,81.0,7.0,"N5O, ++12,74",Sony Pictures Classics,12.0,74.0,N,5
